zip,city,state_id,state_name,county_fips,county_name,county_names_all,county_fips_all
601,Adjuntas,PR,Puerto Rico,72001,Adjuntas,Adjuntas|Utuado,72001|72141
602,Aguada,PR,Puerto Rico,72003,Aguada,Aguada,72003
603,Aguadilla,PR,Puerto Rico,72005,Aguadilla,Aguadilla|Moca,72005|72099
606,Maricao,PR,Puerto Rico,72093,Maricao,Maricao|Yauco|Sabana Grande,72093|72153|72121
610,Anasco,PR,Puerto Rico,72011,Añasco,Añasco|Moca|Las Marías,72011|72099|72083
612,Arecibo,PR,Puerto Rico,72013,Arecibo,Arecibo|Hatillo|Barceloneta,72013|72065|72017
616,Bajadero,PR,Puerto Rico,72013,Arecibo,Arecibo,72013
617,Barceloneta,PR,Puerto Rico,72017,Barceloneta,Barceloneta|Florida|Arecibo,72017|72054|72013
622,Boqueron,PR,Puerto Rico,72023,Cabo Rojo,Cabo Rojo,72023
623,Cabo Rojo,PR,Puerto Rico,72023,Cabo Rojo,Cabo Rojo,72023
624,Penuelas,PR,Puerto Rico,72111,Peñuelas,Peñuelas|Ponce,72111|72113
627,Camuy,PR,Puerto Rico,72027,Camuy,Camuy,72027
637,Sabana Grande,PR,Puerto Rico,72121,Sabana Grande,Sabana Grande|San Germán|Lajas,72121|72125|72079
638,Ciales,PR,Puerto Rico,72039,Ciales,Ciales|Orocovis|Manatí,72039|72107|72091
641,Utuado,PR,Puerto Rico,72141,Utuado,Utuado,72141
646,Dorado,PR,Puerto Rico,72051,Dorado,Dorado|Vega Alta,72051|72143
650,Florida,PR,Puerto Rico,72054,Florida,Florida|Utuado|Manatí|Ciales|Arecibo|Barceloneta,72054|72141|72091|72039|72013|72017
653,Guanica,PR,Puerto Rico,72055,Guánica,Guánica|Sabana Grande,72055|72121
656,Guayanilla,PR,Puerto Rico,72059,Guayanilla,Guayanilla|Yauco|Peñuelas,72059|72153|72111
659,Hatillo,PR,Puerto Rico,72065,Hatillo,Hatillo,72065
660,Hormigueros,PR,Puerto Rico,72067,Hormigueros,Hormigueros,72067
662,Isabela,PR,Puerto Rico,72071,Isabela,Isabela,72071
664,Jayuya,PR,Puerto Rico,72073,Jayuya,Jayuya|Utuado,72073|72141
667,Lajas,PR,Puerto Rico,72079,Lajas,Lajas|San Germán,72079|72125
669,Lares,PR,Puerto Rico,72081,Lares,Lares|Utuado|Las Marías|San Sebastián,72081|72141|72083|72131
670,Las Marias,PR,Puerto Rico,72083,Las Marías,Las Marías|Añasco|Mayagüez|Maricao,72083|72011|72097|72093
674,Manati,PR,Puerto Rico,72091,Manatí,Manatí|Vega Baja,72091|72145
676,Moca,PR,Puerto Rico,72099,Moca,Moca|Aguada,72099|72003
677,Rincon,PR,Puerto Rico,72117,Rincón,Rincón|Añasco|Aguada,72117|72011|72003
678,Quebradillas,PR,Puerto Rico,72115,Quebradillas,Quebradillas|Isabela|San Sebastián,72115|72071|72131
680,Mayaguez,PR,Puerto Rico,72097,Mayagüez,Mayagüez|San Germán|Añasco,72097|72125|72011
682,Mayaguez,PR,Puerto Rico,72097,Mayagüez,Mayagüez|Hormigueros,72097|72067
